NON-TERMINAL,FIRST SET,FOLLOW SET
"<loop_stmt>","ECHO REACT CYCLE","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT"
"<echo_init>","THOUGHT PULSE SYNAPSE STREAM IDENTIFIER SPARK INSTINCT NEURON","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<switch_stmt>","EVALUATE","PATH R_BRACE ECHO LENGTH SYNAPSE RECALL SPARK_LIT SPARK L_PAREN FLOW BASE THOUGHT EVALUATE EXPRESS IDENTIFIER INSTINCT DORMANT CYCLE STIMULATE STREAM THOUGHT_LIT TRUE PULSE_LIT NEURON_LIT PULSE TRANSCRIBE FALSE REACT SENSE NEURON STREAM_LIT"
"<case_list>","PATH ε","PATH R_BRACE BASE"
"<case_item>","PATH","PATH R_BRACE BASE"
"<opt_base>","ε BASE","R_BRACE"
"<case_value>","NEURON_LIT SPARK_LIT THOUGHT_LIT PULSE_LIT STREAM_LIT","COLON"
"<assign_stmt>","IDENTIFIER","SEMICOLON"
"<expr>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA SEMICOLON R_PAREN R_BRACKET"
"<logic_or>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA OR SEMICOLON R_PAREN R_BRACKET"
"<logic_xor>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA OR SEMICOLON XOR R_PAREN R_BRACKET"
"<logic_and>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA OR SEMICOLON AND XOR R_PAREN R_BRACKET"
"<rel_equal>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA OR SEMICOLON AND NOT_EQUAL XOR EQUAL_TO R_PAREN R_BRACKET"
"<rel_expr>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA LESS_EQ OR GREATER EQUAL_TO GREATER_EQ R_BRACKET SEMICOLON AND NOT_EQUAL XOR LESS R_PAREN"
"<add_expr>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA LESS_EQ OR R_BRACE GREATER EQUAL_TO GREATER_EQ R_BRACKET MINUS SEMICOLON AND NOT_EQUAL XOR LESS R_PAREN PLUS"
"<mult_expr>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET MINUS STAR SEMICOLON AND NOT_EQUAL XOR LESS R_PAREN PLUS"
"<pow_expr>","NEURON_LIT LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT FALSE TRANSCRIBE L_PAREN IDENTIFIER STREAM_LIT","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET MINUS STAR SEMICOLON AND NOT_EQUAL XOR LESS R_PAREN PLUS"
"<unary_expr>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET MINUS STAR SEMICOLON AND NOT_EQUAL XOR LESS R_PAREN PLUS"
"<postfix_expr>","NEURON_LIT LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT FALSE TRANSCRIBE L_PAREN IDENTIFIER STREAM_LIT","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET DECREMENT MINUS INCREMENT STAR SEMICOLON AND NOT_EQUAL EXPONENT XOR LESS R_PAREN PLUS"
"<factor>","NEURON_LIT LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT FALSE TRANSCRIBE L_PAREN IDENTIFIER STREAM_LIT","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET DECREMENT MINUS INCREMENT STAR SEMICOLON AND NOT_EQUAL EXPONENT XOR LESS R_PAREN PLUS"
"<variable_access>","IDENTIFIER","LESS_EQ DIV_ASSIGN R_BRACE L_BRACKET EQUAL_TO GREATER_EQ ASSIGN DECREMENT MINUS MUL_ASSIGN SEMICOLON R_PAREN COMMA OR MOD PLUS_ASSIGN GREATER SLASH MINUS_ASSIGN R_BRACKET INCREMENT MOD_ASSIGN STAR AND NOT_EQUAL EXPONENT XOR LESS PLUS"
"<subroutine_call>","IDENTIFIER","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET DECREMENT MINUS INCREMENT STAR SEMICOLON AND NOT_EQUAL EXPONENT XOR LESS R_PAREN PLUS"
"<builtin_call>","LENGTH TRANSCRIBE","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET DECREMENT MINUS INCREMENT STAR SEMICOLON AND NOT_EQUAL EXPONENT XOR LESS R_PAREN PLUS"
"<arg_list>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT ε FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","R_PAREN"
"<args>","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS","COMMA R_PAREN"
"<literal>","NEURON_LIT SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT FALSE STREAM_LIT","COMMA LESS_EQ OR MOD R_BRACE GREATER SLASH EQUAL_TO GREATER_EQ R_BRACKET DECREMENT MINUS INCREMENT STAR SEMICOLON AND NOT_EQUAL EXPONENT XOR LESS R_PAREN PLUS"
"<assign_op>","DIV_ASSIGN MOD_ASSIGN MUL_ASSIGN PLUS_ASSIGN MINUS_ASSIGN ASSIGN","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<or_op>","OR","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<xor_op>","XOR","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<and_op>","AND","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<releq_op>","NOT_EQUAL EQUAL_TO","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<rel_op>","LESS_EQ GREATER LESS GREATER_EQ","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<add_op>","PLUS MINUS","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<mul_op>","MOD STAR SLASH","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
"<unary_op>","INCREMENT NOT DECREMENT PLUS MINUS","LENGTH SPARK_LIT THOUGHT_LIT TRUE PULSE_LIT L_PAREN DECREMENT MINUS NEURON_LIT INCREMENT NOT FALSE TRANSCRIBE IDENTIFIER STREAM_LIT PLUS"
